id,img,label,text,text_with_tags
42953,img/42953.png,0,its their character not their color that matters,its their character not their color that matters head Text Facial hair Meme Natural language processing 
23058,img/23058.png,0,don't be afraid to love again everyone is not like your ex,don't be afraid to love again everyone is not like your ex suit Public Relations just easy Brand 
13894,img/13894.png,0,putting bows on your pet,putting bows on your pet fauna Chartreux Korat Nebelung Mammal 
37408,img/37408.png,0,i love everything and everybody! except for squirrels i hate squirrels,i love everything and everybody! except for squirrels i hate squirrels sniper squirrel Rottweiler Canidae Dog Breed Carnivores happy 35 white Man
82403,img/82403.png,0,"everybody loves chocolate chip cookies, even hitler","everybody loves chocolate chip cookies, even hitler hitler hoffman Black-and-white Noir Presentation Font "
16952,img/16952.png,0,go sports! do the thing! win the points!,go sports! do the thing! win the points! basketball moves Basketball moves Basketball Tournament  neutral 43 black Man
76932,img/76932.png,0,fine you're right. now can we fucking drop it?,fine you're right. now can we fucking drop it? lion in fighting Lion Tiger Cougar Wolf 
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,tattoos are bad for your health i know 5 million people that had tattoos and they all died cancer tattoo Tattoo Laser tattoo removal Tattoo removal Tattoo ink 
2973,img/02973.png,0,how long can i run? till the chain tightens,how long can i run? till the chain tightens yu do dis Dog Dog Breed Canidae Snout 
58306,img/58306.png,0,"what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored","what is he hiding? we need to see his tax returns! let me stop you right there hillary you deleted 30,000 emails, used bleach bit on hard drives, then destroyed phones with hammers you have no right to talk about people hiding anything truth uncensored you belong with me lyrics You Belong With Me Text Font Brand angry 46 white Woman"
79351,img/79351.png,1,jew mad? get fuhrerious!,jew mad? get fuhrerious! poster Poster Album cover Photo caption Font angry 34 white Man
34096,img/34096.png,0,"removes polish with chemicals, nobody bats an eye","removes polish with chemicals, nobody bats an eye plastic Skin Product Plastic Face "
25489,img/25489.png,1,brother... a day without a blast is a day wasted,brother... a day without a blast is a day wasted funny cat and dog Dog Cat funny Photo caption fear 30 white Man
19324,img/19324.png,0,when you're the only dog left at the dog shelter and the black family wants to adopt you,when you're the only dog left at the dog shelter and the black family wants to adopt you couch Stock photography Family Living room Image 
79346,img/79346.png,0,voting for hillary is like letting casey anthony watch your kids because she's not guilty,voting for hillary is like letting casey anthony watch your kids because she's not guilty beauty The Whale Her.ie Hair coloring Hair happy 33 white Woman
13426,img/13426.png,0,they will soon be free,they will soon be free pride month Stonewall riots Pride Month LGBT pride LGBT community happy 33 white Woman
97628,img/97628.png,0,"is it ok for your son or daughter to call another man ""daddy?","is it ok for your son or daughter to call another man ""daddy? criança começando a andar Overalls Infant Boys' Overalls Baby Boy Outfit surprise 28 black Man"
14238,img/14238.png,0,most religions are religions of peace,most religions are religions of peace beard Beard Stock photography NARC G1 Garlic Seeds - Selling & Buy Pakistan Image sad 39 middle eastern Man
28936,img/28936.png,0,when you find out there's an opening for the role of first lady,when you find out there's an opening for the role of first lady michelle obama shopping katrina Waffles + Mochi Let Girls Learn Chasing Light: Michelle Obama Through the Lens of a White House Photographer US President 
59784,img/59784.png,0,if people reject me because i stand on the truth then i have no problem walking alone,if people reject me because i stand on the truth then i have no problem walking alone estar solo es mejor Vivek Hallegere Murthy interesting Loneliness WTF Fun Facts 
2146,img/02146.png,0,from the bottom of my heart i would like to sincerely apologize..... for being white,from the bottom of my heart i would like to sincerely apologize..... for being white products birds Birds Cockatoos Cockatiel Galah 
70146,img/70146.png,0,"lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border","lets erect a memorial to all the americans murdered by an illegal alien make it 1,500 miles long 30 feet tall and put it on the southern border rick astley never gonna give Bulldog Old English Bulldog Olde English Bulldogge Toy Bulldog "
28061,img/28061.png,0,just because they do this dosen't mean they'll do this,just because they do this dosen't mean they'll do this einbrecher Burglary Security Safe Crime 
97180,img/97180.png,1,if there is no race it can't be homicide,if there is no race it can't be homicide friendship Crime Stock photography Hudson Valley Detective 
49752,img/49752.png,0,here's to all my friends who never post about politics or religion,here's to all my friends who never post about politics or religion george marks Photograph Photography  Getty Images happy 31 white Man
25610,img/25610.png,0,enjoying a day at the beach,enjoying a day at the beach bikini Bikini fashion Photograph Fashion iStock 
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,when you come home from a long day of suicide bombinb and your wife gives you this look ali francis closing Ali Francis create Library of Congress sad 27 white Man
